sport,name,level,start_date,end_date,official_url,streaming_links,image_url,summary
Cricket,Inter-University Cricket Championship 2025,College/University,2025-08-20,2025-08-28,https://example-univ-cricket.example.com,"[""https://youtube.com/example-univ-cricket""]",https://via.placeholder.com/400x250?text=Cricket+Championship,A multi-university cricket tournament featuring 16 teams across the region, focusing on student athletes and talent scouting.
Football,State Youth Football Cup 2025,State,2025-09-05,2025-09-12,https://statefootball.example.org,"[""https://facebook.com/state-football""]",https://via.placeholder.com/400x250?text=Football+Cup,State-level youth football cup with district winners from across the state competing for the title.
Badminton,Regional Badminton Open 2025,Zonal/Regional,2025-08-25,2025-08-27,https://regional-badminton.example.com,[],https://via.placeholder.com/400x250?text=Badminton+Open,Open-level tournament for regional players; points distribution for national ranking hopefuls.
Running,City Half Marathon 2025,City/Club,2025-09-14,2025-09-14,https://city-run.example.org,"[""https://youtube.com/city-half-marathon""]",https://via.placeholder.com/400x250?text=Half+Marathon,Mass participation half-marathon open to clubs and public with timed results and charity drives.
Gym,Inter-Club Fitness Challenge 2025,Club/Academy,2025-10-03,2025-10-04,https://fitness-challenge.example.com,[],https://via.placeholder.com/400x250?text=Fitness+Challenge,A two-day strength and endurance contest between local gyms and fitness academies.
Cycling,Regional Track Cycling Meet 2025,Regional,2025-09-20,2025-09-22,https://cycling-meet.example.com,[],https://via.placeholder.com/400x250?text=Cycling+Meet,Track cycling meet with sprint and endurance events for regional riders and clubs.
Swimming,State Aquatics Championship 2025,State,2025-08-30,2025-09-02,https://state-swim.example.org,[],https://via.placeholder.com/400x250?text=Swimming+Championship,State-level aquatics event covering multiple swimming strokes and age categories.
Kabaddi,District Kabaddi League 2025,District,2025-09-10,2025-09-15,https://district-kabaddi.example.com,[],https://via.placeholder.com/400x250?text=Kabaddi+League,District-level kabaddi league focusing on grassroots players and scouts.
Yoga,National Yoga Fest 2025,National,2025-10-12,2025-10-14,https://national-yogafest.example.org,"[""https://youtube.com/national-yoga-fest""]",https://via.placeholder.com/400x250?text=Yoga+Fest,Three-day national festival featuring workshops, competitions and community sessions for yoga practitioners.
Basketball,Inter-Collegiate Basketball Trophy 2025,College/University,2025-09-25,2025-09-30,https://college-basketball.example.edu,"[""https://twitch.tv/college-bball""]",https://via.placeholder.com/400x250?text=Basketball+Trophy,Inter-collegiate tournament for regional colleges to showcase basketball talent and scouting.
Chess,Open Rapid Chess Championship 2025,National,2025-08-22,2025-08-24,https://chess-open.example.com,"[""https://lichess.org/event/example""]",https://via.placeholder.com/400x250?text=Chess+Championship,Open rapid-format chess event attracting national and international titled players.
Table Tennis,City Table Tennis Open 2025,City/Club,2025-09-02,2025-09-04,https://city-tt.example.org,[],https://via.placeholder.com/400x250?text=Table+Tennis+Open,City open table tennis competition for club and school players, with coaching clinics. 